n,instance,move,steps,beta,seconds,seconds_per_move,ns_per_move,accepted,acceptance_rate,final_energy,alpha
45,0,local1,10000000,1,0.59634747099999996,5.9634747099999995e-08,59.634747099999991,2047261,0.20472609999999999,-28.366669623628372,0.20638394206163024
45,0,uniform,10000000,1,28.972176745999999,2.8972176745999999e-06,2897.2176746,514,5.1400000000000003e-05,-34.27068232285481,0.20638394206163024
45,1,local1,10000000,1,0.59832238400000004,5.9832238399999999e-08,59.832238400000001,2072957,0.2072957,-42.331958975870833,0.20999567993453688
45,1,uniform,10000000,1,28.971557917999998,2.8971557918e-06,2897.1557917999999,185,1.8499999999999999e-05,-32.389980406026204,0.20999567993453688
45,2,local1,10000000,1,0.58236500400000002,5.82365004e-08,58.236500399999997,1922385,0.19223850000000001,-39.357273261015095,0.20951449829055366
45,2,uniform,10000000,1,28.965268685000002,2.8965268685000004e-06,2896.5268685000005,48,4.7999999999999998e-06,-37.335461300926575,0.20951449829055366
45,3,local1,10000000,1,0.62126905499999996,6.2126905499999999e-08,62.126905499999999,2196776,0.2196776,-39.632869408055441,0.20835461818510781
45,3,uniform,10000000,1,28.968238844999998,2.8968238844999999e-06,2896.8238845000001,38,3.8e-06,-37.112946129335633,0.20835461818510781
45,4,local1,10000000,1,0.57756594699999997,5.7756594699999994e-08,57.756594699999994,1849358,0.18493580000000001,-37.146464966275239,0.20767261487904878
45,4,uniform,10000000,1,28.970276390999999,2.8970276390999998e-06,2897.0276390999998,338,3.3800000000000002e-05,-31.346409361385003,0.20767261487904878
45,5,local1,10000000,1,0.61718277799999999,6.1718277799999996e-08,61.718277799999996,2190753,0.2190753,-39.834422584346157,0.21083189506163993
45,5,uniform,10000000,1,28.967799083999999,2.8967799083999998e-06,2896.7799083999998,535,5.3499999999999999e-05,-32.172545112441917,0.21083189506163993
45,6,local1,10000000,1,0.60787068899999996,6.0787068899999991e-08,60.787068899999994,2132271,0.2132271,-29.68959921895549,0.20322222592771569
45,6,uniform,10000000,1,28.968652461000001,2.8968652461e-06,2896.8652461000001,414,4.1399999999999997e-05,-35.808531028855072,0.20322222592771569
45,7,local1,10000000,1,0.60329893800000001,6.0329893799999994e-08,60.329893799999994,2096930,0.20969299999999999,-31.409913493098315,0.20200701127974027
45,7,uniform,10000000,1,28.967017177999999,2.8967017178000001e-06,2896.7017178000001,1120,0.000112,-30.441748878607136,0.20200701127974027
45,8,local1,10000000,1,0.58402431799999999,5.8402431799999998e-08,58.402431799999995,1959182,0.19591819999999999,-39.693823735281974,0.20593798517049397
45,8,uniform,10000000,1,28.969221902000001,2.8969221902000001e-06,2896.9221901999999,638,6.3800000000000006e-05,-30.733888407243821,0.20593798517049397
45,9,local1,10000000,1,0.556460379,5.5646037899999998e-08,55.646037899999996,1700166,0.17001659999999999,-49.221614632345272,0.22426704489463253
45,9,uniform,10000000,1,28.967420661999999,2.8967420661999998e-06,2896.7420662,411,4.1100000000000003e-05,-36.717439943405118,0.22426704489463253
45,10,local1,10000000,1,0.58413826499999999,5.8413826500000002e-08,58.413826499999999,1942776,0.19427759999999999,-32.312189266767795,0.20645373730225441
45,10,uniform,10000000,1,28.970059538000001,2.8970059538e-06,2897.0059538,546,5.4599999999999999e-05,-33.066705689631696,0.20645373730225441
45,11,local1,10000000,1,0.57376692500000004,5.7376692500000001e-08,57.376692500000004,1881556,0.18815560000000001,-45.701649022151102,0.19976635344806562
45,11,uniform,10000000,1,28.969875250000001,2.8969875249999999e-06,2896.987525,471,4.71e-05,-33.638802989390918,0.19976635344806562
45,12,local1,10000000,1,0.628413102,6.2841310200000003e-08,62.841310200000002,2333044,0.2333044,-34.646480841339113,0.21585995451248063
45,12,uniform,10000000,1,28.964955681999999,2.8964955681999999e-06,2896.4955682,508,5.0800000000000002e-05,-35.228609573864553,0.21585995451248063
45,13,local1,10000000,1,0.60211084100000001,6.0211084100000004e-08,60.211084100000001,2098440,0.209844,-40.509874110092603,0.20574325057413917
45,13,uniform,10000000,1,28.968239693000001,2.8968239693e-06,2896.8239693,620,6.2000000000000003e-05,-35.012372201566521,0.20574325057413917
45,14,local1,10000000,1,0.57156831600000002,5.7156831599999999e-08,57.156831599999997,1897297,0.1897297,-36.398475553486101,0.20545556773873933
45,14,uniform,10000000,1,28.96662993,2.8966629930000001e-06,2896.6629929999999,22,2.2000000000000001e-06,-37.22587655783564,0.20545556773873933
45,15,local1,10000000,1,0.62459329399999997,6.2459329399999999e-08,62.459329400000001,2239790,0.22397900000000001,-32.242481692261485,0.20550403138132503
45,15,uniform,10000000,1,28.967640877000001,2.8967640877000001e-06,2896.7640876999999,214,2.1399999999999998e-05,-31.139094492524883,0.20550403138132503
45,16,local1,10000000,1,0.62863664399999997,6.2863664399999992e-08,62.86366439999999,2261665,0.22616649999999999,-22.264473640513579,0.20872531852258569
45,16,uniform,10000000,1,28.963419247000001,2.8963419247e-06,2896.3419247000002,195,1.95e-05,-34.267408192365913,0.20872531852258569
45,17,local1,10000000,1,0.59983994900000004,5.9983994900000003e-08,59.983994900000006,2073942,0.2073942,-39.411379949343548,0.20580472018142115
45,17,uniform,10000000,1,28.966909341000001,2.8966909340999999e-06,2896.6909341,468,4.6799999999999999e-05,-31.06812456883295,0.20580472018142115
45,18,local1,10000000,1,0.64159369300000002,6.4159369299999999e-08,64.159369299999994,2374454,0.2374454,-31.839609410650652,0.20438461404346758
45,18,uniform,10000000,1,28.968055717999999,2.8968055717999997e-06,2896.8055717999996,1059,0.0001059,-28.844821035086422,0.20438461404346758
45,19,local1,10000000,1,0.57707504300000001,5.7707504300000002e-08,57.707504300000004,1847930,0.18479300000000001,-41.662614434715231,0.20690561271142419
45,19,uniform,10000000,1,28.966561231,2.8966561231000002e-06,2896.6561231000001,141,1.4100000000000001e-05,-38.064095524270556,0.20690561271142419
45,20,local1,10000000,1,0.59210995300000002,5.92109953e-08,59.2109953,1975396,0.19753960000000001,-40.036601044336962,0.20666954572973659
45,20,uniform,10000000,1,28.966777692000001,2.8966777692e-06,2896.6777692000001,578,5.7800000000000002e-05,-29.470429412374493,0.20666954572973659
45,21,local1,10000000,1,0.59826731,5.9826731000000001e-08,59.826731000000002,2061938,0.20619380000000001,-36.545123430240437,0.2129658053253069
45,21,uniform,10000000,1,28.971403975000001,2.8971403975000002e-06,2897.1403975000003,227,2.27e-05,-31.775914453107422,0.2129658053253069
45,22,local1,10000000,1,0.61681258299999997,6.1681258300000003e-08,61.681258300000003,2201940,0.220194,-32.962241690532466,0.20615892697254362
45,22,uniform,10000000,1,28.964399332999999,2.8964399332999998e-06,2896.4399332999997,874,8.7399999999999997e-05,-31.51548566580199,0.20615892697254362
45,23,local1,10000000,1,0.63064416899999998,6.3064416899999997e-08,63.064416899999998,2312108,0.23121079999999999,-34.608339481590875,0.20591340095741187
45,23,uniform,10000000,1,28.963470248,2.8963470248000002e-06,2896.3470248000003,1137,0.0001137,-30.370218238356504,0.20591340095741187
45,24,local1,10000000,1,0.60462732200000002,6.0462732200000001e-08,60.462732199999998,2111406,0.21114060000000001,-34.614345841274293,0.2114576723559059
45,24,uniform,10000000,1,28.96778501,2.8967785010000002e-06,2896.7785010000002,324,3.2400000000000001e-05,-35.386605392326103,0.2114576723559059
45,25,local1,10000000,1,0.60549459100000003,6.0549459100000001e-08,60.5494591,2136893,0.2136893,-39.086932489399082,0.20434662937114387
45,25,uniform,10000000,1,28.965153323999999,2.8965153323999997e-06,2896.5153323999998,328,3.2799999999999998e-05,-29.575702973713746,0.20434662937114387
45,26,local1,10000000,1,0.62400742399999998,6.2400742400000001e-08,62.400742399999999,2235847,0.2235847,-37.994573139064407,0.2089732506337805
45,26,uniform,10000000,1,28.968795099000001,2.8968795099000003e-06,2896.8795099000004,244,2.44e-05,-33.264164597654172,0.2089732506337805
45,27,local1,10000000,1,0.59071700199999999,5.9071700200000002e-08,59.071700200000002,2026857,0.2026857,-38.925479227961425,0.2090257166170616
