top,n,status,report,log
local_metropolis_step,10,ok,reports/local_metropolis_step_N10_csynth.rpt,logs/local_metropolis_step_N10.log
uniform_metropolis_step,10,ok,reports/uniform_metropolis_step_N10_csynth.rpt,logs/uniform_metropolis_step_N10.log
local_metropolis_step,11,ok,reports/local_metropolis_step_N11_csynth.rpt,logs/local_metropolis_step_N11.log
uniform_metropolis_step,11,ok,reports/uniform_metropolis_step_N11_csynth.rpt,logs/uniform_metropolis_step_N11.log
local_metropolis_step,12,ok,reports/local_metropolis_step_N12_csynth.rpt,logs/local_metropolis_step_N12.log
uniform_metropolis_step,12,ok,reports/uniform_metropolis_step_N12_csynth.rpt,logs/uniform_metropolis_step_N12.log
local_metropolis_step,13,ok,reports/local_metropolis_step_N13_csynth.rpt,logs/local_metropolis_step_N13.log
uniform_metropolis_step,13,ok,reports/uniform_metropolis_step_N13_csynth.rpt,logs/uniform_metropolis_step_N13.log
local_metropolis_step,14,ok,reports/local_metropolis_step_N14_csynth.rpt,logs/local_metropolis_step_N14.log
uniform_metropolis_step,14,ok,reports/uniform_metropolis_step_N14_csynth.rpt,logs/uniform_metropolis_step_N14.log
local_metropolis_step,15,ok,reports/local_metropolis_step_N15_csynth.rpt,logs/local_metropolis_step_N15.log
uniform_metropolis_step,15,ok,reports/uniform_metropolis_step_N15_csynth.rpt,logs/uniform_metropolis_step_N15.log
local_metropolis_step,16,ok,reports/local_metropolis_step_N16_csynth.rpt,logs/local_metropolis_step_N16.log
uniform_metropolis_step,16,ok,reports/uniform_metropolis_step_N16_csynth.rpt,logs/uniform_metropolis_step_N16.log
local_metropolis_step,17,ok,reports/local_metropolis_step_N17_csynth.rpt,logs/local_metropolis_step_N17.log
uniform_metropolis_step,17,ok,reports/uniform_metropolis_step_N17_csynth.rpt,logs/uniform_metropolis_step_N17.log
local_metropolis_step,18,ok,reports/local_metropolis_step_N18_csynth.rpt,logs/local_metropolis_step_N18.log
uniform_metropolis_step,18,ok,reports/uniform_metropolis_step_N18_csynth.rpt,logs/uniform_metropolis_step_N18.log
local_metropolis_step,19,ok,reports/local_metropolis_step_N19_csynth.rpt,logs/local_metropolis_step_N19.log
uniform_metropolis_step,19,ok,reports/uniform_metropolis_step_N19_csynth.rpt,logs/uniform_metropolis_step_N19.log
local_metropolis_step,20,ok,reports/local_metropolis_step_N20_csynth.rpt,logs/local_metropolis_step_N20.log
uniform_metropolis_step,20,ok,reports/uniform_metropolis_step_N20_csynth.rpt,logs/uniform_metropolis_step_N20.log
local_metropolis_step,21,ok,reports/local_metropolis_step_N21_csynth.rpt,logs/local_metropolis_step_N21.log
uniform_metropolis_step,21,ok,reports/uniform_metropolis_step_N21_csynth.rpt,logs/uniform_metropolis_step_N21.log
local_metropolis_step,22,ok,reports/local_metropolis_step_N22_csynth.rpt,logs/local_metropolis_step_N22.log
uniform_metropolis_step,22,ok,reports/uniform_metropolis_step_N22_csynth.rpt,logs/uniform_metropolis_step_N22.log
local_metropolis_step,23,ok,reports/local_metropolis_step_N23_csynth.rpt,logs/local_metropolis_step_N23.log
uniform_metropolis_step,23,ok,reports/uniform_metropolis_step_N23_csynth.rpt,logs/uniform_metropolis_step_N23.log
local_metropolis_step,24,ok,reports/local_metropolis_step_N24_csynth.rpt,logs/local_metropolis_step_N24.log
uniform_metropolis_step,24,ok,reports/uniform_metropolis_step_N24_csynth.rpt,logs/uniform_metropolis_step_N24.log
local_metropolis_step,25,ok,reports/local_metropolis_step_N25_csynth.rpt,logs/local_metropolis_step_N25.log
uniform_metropolis_step,25,ok,reports/uniform_metropolis_step_N25_csynth.rpt,logs/uniform_metropolis_step_N25.log
local_metropolis_step,26,ok,reports/local_metropolis_step_N26_csynth.rpt,logs/local_metropolis_step_N26.log
uniform_metropolis_step,26,ok,reports/uniform_metropolis_step_N26_csynth.rpt,logs/uniform_metropolis_step_N26.log
local_metropolis_step,27,ok,reports/local_metropolis_step_N27_csynth.rpt,logs/local_metropolis_step_N27.log
uniform_metropolis_step,27,ok,reports/uniform_metropolis_step_N27_csynth.rpt,logs/uniform_metropolis_step_N27.log
local_metropolis_step,28,ok,reports/local_metropolis_step_N28_csynth.rpt,logs/local_metropolis_step_N28.log
uniform_metropolis_step,28,ok,reports/uniform_metropolis_step_N28_csynth.rpt,logs/uniform_metropolis_step_N28.log
local_metropolis_step,29,ok,reports/local_metropolis_step_N29_csynth.rpt,logs/local_metropolis_step_N29.log
uniform_metropolis_step,29,ok,reports/uniform_metropolis_step_N29_csynth.rpt,logs/uniform_metropolis_step_N29.log
local_metropolis_step,30,ok,reports/local_metropolis_step_N30_csynth.rpt,logs/local_metropolis_step_N30.log
uniform_metropolis_step,30,ok,reports/uniform_metropolis_step_N30_csynth.rpt,logs/uniform_metropolis_step_N30.log
